,feature,class
0,"[-93.358574   143.08846    -24.687855    87.64721    -53.876034
  55.107307   -17.828447    15.870351    -7.6039476   -2.610123
   8.368521   -15.138738    16.852257   -11.371149    10.504827
 -11.156425     2.0666974   -2.207856    -0.5553783    1.6484667
  -6.318536     4.043569   -11.284439     3.2647884   -1.2733376
   1.029965    -3.9762843   -1.4222225   -1.4154978   -2.6453366
   1.11415     -4.6302238    0.6510899   -2.012663     1.2746806
  -3.1197433    0.7715617   -2.7657144   -2.042839    -0.40138033]",FaultyFan
1,"[-83.99258    133.55707    -43.555065    84.07892    -44.291344
  56.32895    -11.001277    16.790514    -6.8818073   -6.2997174
   9.750926   -15.741258    15.251049   -11.854991     6.8453984
 -10.504659     1.3102543   -1.7867982   -2.0580575    3.7640383
  -5.4360642    3.8020992  -11.028185     1.895494    -4.9887586
  -1.2332443   -1.5347263   -1.7257211    2.0320044   -5.1576834
  -0.3147402   -1.8659745   -1.0041083   -3.55931     -0.6776693
  -1.2906933    0.39830855  -4.8118505   -1.5585835    0.91163045]",FaultyFan
2,"[-8.5851562e+01  1.3825967e+02 -1.8470726e+01  9.0875084e+01
 -4.8385883e+01  5.2411449e+01 -2.2479458e+01  1.6317345e+01
 -1.1276323e+01 -4.5663276e+00  9.4488792e+00 -1.5799854e+01
  1.5472734e+01 -1.1865045e+01  1.0354012e+01 -1.3788054e+01
  4.0557990e+00 -5.2579051e-01 -3.4621286e+00  2.5402746e+00
 -5.5774331e+00  3.6268291e+00 -9.8527384e+00  4.0565586e+00
 -3.5021873e+00  5.3642701e-02 -3.4417100e+00 -7.2572726e-01
 -1.4774701e-01 -3.6860096e+00  3.8434523e-01 -4.6380730e+00
  1.6016673e+00 -3.0622280e+00 -1.5359313e+00 -3.0912066e+00
  1.1769278e+00 -2.1474504e+00 -2.3095715e+00 -1.2079396e+00]",FaultyFan
3,"[-84.16158    128.17197    -36.546913    96.57094    -48.793236
  59.925774   -14.126012    18.209724   -11.444077    -7.142388
   7.932428   -13.961318    16.259594   -12.334539     9.17935
 -12.755943     3.6859407   -3.5835047   -0.6060435    2.337187
  -6.0459948    3.7300167  -13.3725       3.2159586   -2.5475764
   1.8623098   -2.0388715   -0.36690474   0.40988606  -3.2692633
  -0.71063405  -5.1312923    0.6925508   -3.046987     2.2503915
  -0.74446374  -0.34525695  -3.957366    -2.3006008   -0.3069621 ]",FaultyFan
4,"[-1.0380153e+02  1.4752713e+02 -2.0799234e+01  8.6505661e+01
 -4.5845692e+01  5.1551708e+01 -1.6050138e+01  1.8321287e+01
 -7.6979966e+00 -4.9472237e+00  1.1244999e+01 -1.4050521e+01
  1.1096303e+01 -1.3300065e+01  1.2013074e+01 -8.7017422e+00
  3.8070735e-01 -4.0242171e+00  7.2487420e-01  3.7299201e+00
 -8.6626787e+00  4.1774421e+00 -9.9991980e+00  2.0410142e+00
 -3.9268222e-01 -2.9727694e-01 -4.7804294e+00  7.1900189e-02
 -7.1122241e-01 -4.7858977e+00  1.3866130e+00 -3.6748588e+00
 -9.3041879e-01 -2.1305888e+00  2.2226052e+00 -2.4345920e+00
 -1.8811673e+00 -5.3471966e+00  1.0155714e+00  3.2810667e+00]",FaultyFan
5,"[-1.18927689e+02  1.42811707e+02 -8.96538067e+00  9.15626984e+01
 -3.58673058e+01  4.86564331e+01 -2.00916901e+01  1.07186394e+01
 -6.05790424e+00 -5.43486881e+00  1.18532972e+01 -1.47359705e+01
  1.38929901e+01 -9.96108150e+00  6.86644745e+00 -9.67677116e+00
  8.46080661e-01  1.12175107e+00 -2.21428037e+00  2.16733503e+00
 -6.15022421e+00  3.66987014e+00 -9.21484089e+00  1.70303738e+00
 -1.61671746e+00  3.97027403e-01 -2.46290636e+00 -4.42556286e+00
  1.12473404e+00 -2.81792831e+00 -1.75441992e+00 -2.95449901e+00
  5.44207633e-01 -3.04072666e+00 -3.74752171e-02 -1.13720608e+00
 -1.23103452e+00 -3.93066883e+00 -1.79174554e+00 -3.79914403e-01]",FaultyFan
6,"[-105.13614     133.43806     -27.296207     81.428955    -40.54426
   51.375713    -10.465086     15.982426     -5.000867      0.22802886
   11.924807    -15.472384     14.87194      -8.94182       5.40465
  -10.984461      2.8551292    -0.44568902   -1.1835488     4.2138424
   -5.641003      3.1394265    -8.564945      1.5239265    -2.5219932
    1.908595     -2.2145634    -3.019402      0.91950953   -3.4213116
   -1.087684     -3.4491808     0.39260423   -2.4935107    -0.3174191
   -1.767655     -0.71320677   -3.6209104    -2.0815268    -0.5661753 ]",FaultyFan
7,"[-9.7620811e+01  1.3334084e+02 -2.2090628e+01  9.6271797e+01
 -4.5111767e+01  4.7798576e+01 -2.2508247e+01  1.3066672e+01
 -8.2970352e+00 -6.3239366e-02  9.4434385e+00 -1.5912924e+01
  1.5235365e+01 -1.3245305e+01  7.9964023e+00 -8.8992548e+00
  4.0440230e+00 -3.0196786e+00 -3.9862385e+00  3.2455080e+00
 -4.9836221e+00  1.6643552e+00 -6.9133940e+00  2.2039938e+00
 -4.7336040e+00  9.5757616e-01 -2.0590193e+00 -1.3733354e-01
 -3.1076522e+00 -2.6059904e+00  4.6899313e-01 -4.0623074e+00
 -4.3275630e-01 -3.8416829e+00  1.3475610e+00 -3.1472354e+00
  6.3486457e-01 -2.6984329e+00 -1.7670797e+00 -1.8333089e+00]",FaultyFan
8,"[-97.97195    161.40968    -16.821426    82.71194    -44.688274
  39.798527   -19.921724    10.878951    -2.1935246   -0.21512347
   9.977409   -13.48442     14.654759    -8.158607     5.8239164
  -7.0490155    5.0677295   -3.2866237   -2.08354      3.595045
  -5.0289       1.1845278   -6.706267     5.9748282   -4.517422
  -0.40747648  -3.5582604   -0.2808804    1.8250998   -4.8391466
  -0.74572605  -2.5763257    1.7197529   -3.7131739   -0.19704461
  -3.0033762    0.21027827  -1.4573625   -2.1241138   -0.34250045]",FaultyFan
9,"[-114.152306    144.39798     -14.486006     93.29267     -38.215733
   49.150616    -16.609184     10.923781     -7.249497     -5.0115733
    9.651818    -13.049193     12.901826    -11.322174      8.020598
   -9.886732      0.78869957   -2.8261495    -0.96726674    3.9456925
   -7.5844064     2.3905008    -7.8508234     2.1695766    -3.4330196
    1.3936113    -3.7661932    -2.5651736     2.1710722    -4.2135606
   -1.436911     -3.0714288     1.1560373    -2.7731097    -0.40177682
   -2.6309025     0.3080109    -1.9451087    -2.2073214    -1.0666    ]",FaultyFan
10,"[-1.03574944e+02  1.60956650e+02 -1.24303532e+01  8.46931763e+01
 -4.80873146e+01  4.19456215e+01 -1.94427376e+01  1.33631840e+01
 -3.30926633e+00 -2.71773577e+00  1.21349745e+01 -1.39846325e+01
  1.57096472e+01 -8.70987701e+00  6.13014078e+00 -4.47287798e+00
  3.51169467e+00 -2.76570177e+00 -4.53599811e-01  3.86933994e+00
 -6.30772924e+00  2.19273114e+00 -4.12373066e+00  3.51592517e+00
 -4.50351810e+00  1.38862050e+00 -2.75576568e+00 -8.62886667e-01
  1.09934592e+00 -2.42529058e+00 -7.58661628e-01 -3.39614010e+00
  2.34375310e+00 -2.77966070e+00 -5.63160256e-02 -3.11358595e+00
  1.51560336e-01 -1.33066595e+00 -1.83858395e+00 -1.19616652e+00]",FaultyFan
11,"[-117.43014     162.03981     -11.971206     81.314415    -44.263012
   43.314476    -14.812026     11.134582     -5.0566597    -5.662411
   13.032383    -15.068971     12.647533     -7.9578414     4.364478
   -6.739939      1.9990906    -1.1431822    -2.1464555     2.5287352
   -5.806968      2.827676     -7.0291305     2.0545216    -2.5363567
    0.73282766   -2.393478     -1.7151496     1.1457704    -4.070553
    0.33254343   -2.8337371     0.34423038   -2.2465296    -0.49085668
   -1.9118657    -0.50228715   -1.9248866    -0.99061173   -0.21885201]",FaultyFan
12,"[-1.13105675e+02  1.33942169e+02 -4.00073204e+01  8.24906082e+01
 -4.45369110e+01  4.84157524e+01 -1.00926905e+01  1.48237495e+01
 -1.33241129e+01 -4.91079378e+00  1.37378979e+01 -1.05237074e+01
  1.71919041e+01 -1.10407181e+01  1.04067154e+01 -8.04677010e+00
 -2.22970581e+00 -2.47444987e+00 -7.83105642e-02  4.43519115e+00
 -3.70019770e+00  2.05666161e+00 -1.20084629e+01  2.81267595e+00
 -1.95541000e+00  2.16286922e+00  6.72353625e-01 -3.67911649e+00
 -1.16831636e+00 -2.35841179e+00  7.50539780e-01 -1.60430324e+00
 -6.88924968e-01 -3.60664487e+00 -9.68640149e-01 -2.63702059e+00
  2.87916040e+00  4.83245850e-02 -1.86220419e+00 -2.17338204e+00]",FaultyFan
13,"[-8.9592842e+01  1.1005744e+02 -5.5010494e+01  8.8455292e+01
 -4.7003914e+01  5.0333839e+01 -2.2554770e+01  2.3897131e+01
 -3.7141852e+00 -1.6471643e+00  1.2047340e+01 -7.3038754e+00
  2.0948669e+01 -9.7526112e+00  1.7005419e+01 -9.3916960e+00
 -3.1701016e-01 -3.6589098e+00  5.8377963e-01  7.2785892e+00
 -2.3653796e+00  2.1826377e+00 -8.8465738e+00  6.7599044e+00
 -4.6754786e-01  1.0763204e+00 -3.4302497e+00  1.8895112e+00
  2.2925773e+00 -4.1436553e-01  9.7265106e-01 -2.6500106e+00
  6.0669941e-01 -4.5286245e+00 -7.3446506e-01 -2.0428853e+00
  4.7704420e+00  8.3720103e-02 -9.5597774e-01 -2.7396791e+00]",FaultyFan
14,"[-1.17118416e+02  1.22212753e+02 -3.15174408e+01  8.75637894e+01
 -3.33992882e+01  4.75193443e+01 -1.38255243e+01  2.09044342e+01
  2.37759662e+00 -6.26459742e+00  8.90521622e+00 -8.86186314e+00
  1.66318035e+01 -9.87375736e+00  1.09720678e+01 -1.05079174e+01
 -4.62846136e+00  1.02593660e+00 -8.95267665e-01  5.90272236e+00
 -4.01009703e+00  7.55162179e-01 -6.43945312e+00  3.05909395e+00
 -4.25988913e+00 -4.28874880e-01  1.16500056e+00 -1.40450823e+00
 -8.38231623e-01 -2.86681604e+00  1.46970689e+00 -1.02825284e+00
 -3.72082901e+00 -4.26966000e+00  3.51242907e-02 -2.86166525e+00
  3.51742864e+00 -2.25026250e+00 -3.78686476e+00 -3.87697853e-02]",FaultyFan
15,"[-114.694214    100.907524    -63.728786     78.2741      -50.6878
   48.3251      -10.023185     18.981934     -6.705868      5.42111
   13.970198    -18.752487     12.848419    -12.974949      9.802836
  -10.819271      9.674435      1.3840542    -5.026193     11.883083
   -2.8522718     3.802057     -7.4275055     3.1628962    -1.9071805
    2.8716373     3.7448792    -0.97370386   -2.1493566    -3.179543
   -1.2598243    -0.749364      5.0220413    -5.2672496     0.1164564
    0.35142595    1.1744891    -1.5282226    -0.86601746    0.95283395]",FaultyFan
16,"[-101.28543     119.632706    -57.36964      79.22665     -49.29342
   57.468822    -13.449782     23.7521       -2.9377224     6.2810416
   16.517628    -13.345696     13.368208    -17.53318      10.264652
  -10.722666      6.5524697    -0.92341405   -1.3141875     9.741369
   -3.4697645     5.5249715    -5.510566      5.98531      -3.0945764
    1.1494551    -1.8460996    -0.86045194    0.8039224    -2.4618533
    1.0608854    -2.4802742     0.26072845   -4.9161887     1.1359644
   -3.167563     -1.1276318    -2.2818365    -2.057924     -0.49258158]",FaultyFan
17,"[-1.07646286e+02  1.22715591e+02 -5.47546158e+01  7.63791733e+01
 -4.43805161e+01  5.51688423e+01 -9.74860477e+00  2.25571022e+01
 -1.63206935e+00  7.75842905e+00  1.66314812e+01 -1.40450773e+01
  1.26272297e+01 -1.69868889e+01  7.95110178e+00 -8.09671593e+00
  5.46357250e+00  8.70779529e-02 -1.72353074e-01  8.85137272e+00
 -2.13175321e+00  3.16966009e+00 -4.43696117e+00  6.70848703e+00
 -3.47186589e+00  1.35602438e+00 -2.43960953e+00 -7.33508691e-02
  3.33987147e-01 -1.96223998e+00  1.65426791e+00 -2.20132422e+00
  1.09957373e+00 -4.75224972e+00  1.48362327e+00 -4.49186993e+00
 -1.75399184e-01 -1.53870416e+00 -3.10095358e+00  9.79806781e-01]",FaultyFan
18,"[-137.77373     132.6272      -37.15136      73.93016     -32.966026
   52.462086     -7.583101     17.910326      3.6192822    -0.72905767
    8.10351     -15.204269     13.082194    -11.012785      6.429388
   -9.445153      2.6981223     3.4179194    -0.40264145    6.107248
   -5.426308      4.10715      -7.3144393     2.8901904    -2.1511838
   -0.15583774   -0.60391235   -3.178183      1.0685722    -3.9623632
    0.6629193    -3.0572948    -1.251916     -4.3600407    -1.6941528
   -1.5002376    -1.2263045    -1.2395301    -1.9643356    -0.53321105]",FaultyFan
19,"[-96.58124    132.94485    -54.94669     79.14722    -36.48076
  56.833626   -10.30269     22.448774     3.207483    -2.4415753
   8.016015   -17.895277    11.576897    -9.025763     9.887944
 -14.008261     0.6582234   -0.93612856   0.52326804  10.809085
  -7.7016864   -0.3697704   -8.010696     4.189809    -2.1707249
   3.4054563   -1.5683098   -6.608543     1.3013107   -3.1329782
   0.7932781   -4.113846    -4.2774787   -3.0837886   -0.74705863
  -3.3482053    2.0186727   -0.36307237  -3.214908    -0.915188  ]",FaultyFan
20,"[-1.23497635e+02  1.40214218e+02 -3.07371101e+01  8.52592697e+01
 -2.77869530e+01  4.83610954e+01 -6.35136890e+00  1.52791510e+01
  1.77218884e-01 -1.40924990e+00  1.23197575e+01 -1.56229286e+01
  6.29625225e+00 -8.39821243e+00  6.27115679e+00 -1.21872263e+01
  1.25538278e+00 -1.94620216e+00 -2.92721820e+00  6.81769657e+00
 -8.31211948e+00 -2.72973087e-02 -8.61480999e+00  2.51185209e-01
 -3.04519391e+00  6.77620530e-01 -2.87996978e-01 -5.94475651e+00
 -1.98718345e+00 -3.55540991e+00 -7.32374638e-02 -2.24667287e+00
 -3.91262555e+00 -5.37567663e+00  1.16018820e+00 -3.82636595e+00
 -1.32396245e+00 -3.16596180e-01 -2.58236265e+00 -1.23188865e+00]",FaultyFan
