,feature,class
0,"[-1.8408725e+02  1.9090364e+02 -6.5472474e+00  6.9835281e+01
 -1.2132949e+01  2.8640413e+01  1.7672767e-01  2.1742346e+00
 -1.0729703e+00 -8.7123413e+00  7.6583581e+00 -8.8585892e+00
  1.0047846e+01 -4.3541551e+00  2.3274657e-01 -2.1884985e+00
 -1.8547667e+00  2.2260115e+00 -4.9371362e+00  1.7649610e+00
 -5.1897745e+00  1.6688553e+00 -3.5937068e+00 -1.3675336e+00
 -1.1264790e+00 -3.2454052e+00  5.1271170e-01 -4.7048430e+00
  6.5273553e-01 -2.5778739e+00 -8.3489031e-02 -1.7538610e+00
 -3.0470753e+00 -9.7869337e-01 -3.3089824e+00 -9.8401237e-01
 -2.4648366e+00  1.0008619e-01 -1.3101186e+00 -2.3919380e+00]",NormalFan
1,"[-1.88955963e+02  1.84573242e+02 -5.79683399e+00  6.94934387e+01
 -8.67108059e+00  3.12446156e+01  4.72485161e+00  2.33463860e+00
 -1.06980085e-01 -1.09971914e+01  6.65145874e+00 -8.92106438e+00
  8.30385971e+00 -2.53275490e+00 -1.19295180e+00 -2.57526922e+00
 -1.61182785e+00  2.18415403e+00 -5.22167253e+00  1.84613156e+00
 -4.88957930e+00  8.68750334e-01 -3.02121115e+00 -2.14589286e+00
 -1.16856015e+00 -2.99086380e+00  9.91245091e-01 -4.43706322e+00
  1.75895065e-01 -2.94913340e+00  5.48215806e-02 -5.77119291e-01
 -3.21542239e+00 -2.43505254e-01 -3.17605758e+00 -6.21319413e-01
 -1.93774557e+00 -2.27334827e-01 -5.43799758e-01 -2.72740722e+00]",NormalFan
2,"[-187.72867     227.37573       1.7841598    35.303238    -11.111661
   17.123169      4.732779     -1.1210203     1.7686538    -4.5913935
    8.282555     -5.320393      2.9136038    -1.295446     -1.4450437
   -1.4068115    -2.7530007     1.0364766    -4.6864915     0.5675338
   -3.4973414    -1.4626874    -2.6861048    -2.767        -0.89255005
   -4.3070626    -0.50475883   -3.9820747    -1.1038752    -2.8944993
   -2.6697876    -0.7287323    -4.0699253    -0.6100961    -3.370282
   -1.8494128    -1.7253861    -2.752205     -1.5178099    -2.86564   ]",NormalFan
3,"[-205.62836     199.65625      16.706049     50.15475      -3.8018017
   17.094252      7.307125     -1.3561659     1.7418652    -4.7408133
    7.9054337    -5.492662      1.8875469     0.51424927   -2.0964053
   -0.73988414   -2.0262573     1.6957816    -3.8251808    -0.5335782
   -2.6637406    -0.8777122    -1.8296193    -3.4190764    -1.128894
   -3.2165194    -0.45430613   -3.5934877    -1.1340628    -2.1144824
   -2.8948703    -1.1923994    -3.8775945    -0.27693376   -2.55269
   -2.304312     -2.1322532    -2.1918468    -1.1684468    -3.4481258 ]",NormalFan
4,"[-1.7207370e+02  2.3081796e+02 -3.0840249e+00  3.6879501e+01
 -1.6057863e+01  1.4156264e+01  8.4607357e-01 -3.7392423e+00
 -6.4897984e-01 -6.7225285e+00  6.3951678e+00 -9.0460396e+00
  2.7627885e+00 -2.7867610e+00 -2.8758833e+00 -1.6224575e+00
 -3.4319460e+00  1.1141216e+00 -5.7619467e+00  5.1872499e-02
 -3.6551175e+00 -1.5125725e+00 -2.3635914e+00 -3.2519982e+00
 -1.4305456e+00 -3.8066826e+00 -2.5314739e-01 -4.5018101e+00
 -1.4458628e+00 -2.8016462e+00 -2.7182684e+00 -1.6080188e+00
 -4.0296035e+00 -6.7859441e-01 -3.1289754e+00 -1.3094004e+00
 -2.8920262e+00 -2.6190948e+00 -8.3025759e-01 -3.0920606e+00]",NormalFan
5,"[-2.0293791e+02  2.2071227e+02  1.5825939e+01  3.1833752e+01
  2.3305397e+00  1.2287267e+01  8.0954771e+00 -2.9111354e+00
  7.6514089e-01 -1.8769060e+00  4.0891919e+00 -3.6546390e+00
  1.2687507e+00 -2.6300827e-01 -2.3938851e+00 -1.2563185e-01
 -2.0397182e+00  4.3917480e-01 -3.0210164e+00 -5.4063338e-01
 -1.1667554e+00 -2.0433290e+00 -2.0752246e+00 -2.7953534e+00
 -1.2671468e+00 -2.9746258e+00 -1.1783874e+00 -2.7860906e+00
 -1.5987916e+00 -1.8916085e+00 -2.7459683e+00 -8.2427406e-01
 -3.3708594e+00 -9.1791791e-01 -2.2013009e+00 -2.1560917e+00
 -1.1892284e+00 -2.8277683e+00 -8.8909358e-01 -2.8971841e+00]",NormalFan
6,"[-2.2391782e+02  2.1962363e+02  2.9116371e+01  4.7002560e+01
 -7.6577554e+00  1.5403001e+01  4.7140164e+00 -4.2108121e+00
 -7.2296858e-01 -3.8795843e+00  4.1428924e+00 -6.8062048e+00
  2.1021175e+00 -2.4414985e+00 -1.4319960e+00 -1.9212533e+00
 -2.9602711e+00  2.5100175e-02 -4.2523007e+00  9.6866375e-01
 -3.4185095e+00 -1.0119762e+00 -2.6759136e+00 -1.8861150e+00
 -3.0557391e-01 -3.6328132e+00 -4.8089296e-01 -4.0730181e+00
  3.6785230e-01 -1.9843452e+00 -2.5557010e+00 -7.7301794e-01
 -3.2835398e+00  5.3290606e-01 -2.8086417e+00 -1.3542181e+00
 -1.4268718e+00 -1.4931588e+00 -5.7443887e-01 -2.6980588e+00]",NormalFan
7,"[-2.0958644e+02  2.1006795e+02  1.7482203e+01  5.3782307e+01
 -6.6288724e+00  1.7202946e+01  3.7193763e+00 -2.0246243e+00
 -1.1591793e+00 -5.5859456e+00  5.9003010e+00 -6.6048293e+00
  3.9514349e+00 -3.5532277e+00 -1.7491046e+00 -1.0120692e+00
 -2.6302080e+00  4.0309381e-02 -5.2607207e+00  9.4164121e-01
 -3.5829003e+00 -5.8657098e-01 -2.5065002e+00 -2.7996874e+00
 -1.7308397e+00 -3.3013189e+00  1.6746350e-01 -4.5747819e+00
  1.3844928e-01 -3.0383964e+00 -3.2312200e+00 -5.3517425e-01
 -3.4530613e+00 -7.3379683e-01 -3.6020412e+00 -1.6143250e+00
 -1.4363165e+00 -2.7772052e+00 -2.3596561e+00 -2.3418443e+00]",NormalFan
8,"[-1.9050349e+02  1.8826649e+02  7.1921630e+00  5.1472057e+01
  1.1493969e+00  1.9837288e+01  8.5261030e+00 -3.3132565e+00
 -1.6151686e+00 -5.6950397e+00  6.0002999e+00 -4.8572054e+00
  3.0963631e+00 -1.5464107e+00 -1.9250680e+00 -1.3450803e+00
 -4.5296764e+00  1.1552453e+00 -2.9950521e+00 -1.0941789e-01
 -2.4730611e+00 -1.1961557e+00 -2.2584486e+00 -3.0155399e+00
 -3.0559793e-01 -2.3232412e+00 -2.7228928e-01 -3.1994798e+00
 -1.7351358e+00 -2.4189894e+00 -2.0314140e+00 -7.2537267e-01
 -3.0307269e+00 -4.2827219e-01 -2.0694671e+00 -1.8056506e+00
 -2.4265373e+00 -1.8998560e+00 -1.1966330e-01 -2.3807557e+00]",NormalFan
9,"[-1.5103636e+02  2.4231750e+02 -2.6054111e+01  2.3999281e+01
 -8.7033787e+00  1.2725305e+01  8.9336929e+00 -2.7695708e+00
  8.8378590e-01 -3.0167849e+00  6.4315720e+00 -5.4809289e+00
  1.7355289e+00 -1.2484531e+00 -1.4739282e+00  1.9352380e-02
 -3.3678770e+00  8.3763671e-01 -4.2362337e+00 -1.2524362e+00
 -3.2738662e+00 -1.8129206e+00 -2.2638221e+00 -3.4150670e+00
 -1.0604393e+00 -3.9048495e+00 -1.0851927e+00 -3.3496082e+00
 -1.5046250e+00 -2.1841779e+00 -3.1263561e+00 -1.4733175e+00
 -3.8459065e+00 -1.2691516e+00 -3.2526746e+00 -1.8857274e+00
 -1.7813580e+00 -2.9348378e+00 -1.4611683e+00 -3.1410217e+00]",NormalFan
