,feature,class
0,"[-1.7205176e+02  1.7807889e+02 -2.7258942e+00  6.4907539e+01
 -1.7838411e+01  3.1229670e+01 -4.5152202e+00  1.6065993e+00
 -1.6577579e+00 -5.4785323e+00  8.0105228e+00 -8.2841625e+00
  6.3773460e+00 -7.8096404e+00  5.0518317e+00 -3.6629853e+00
 -2.0983756e+00 -1.1595209e+00 -5.4776149e+00  2.9838784e+00
 -6.1206489e+00  1.3454889e+00 -4.5302539e+00  6.2176481e-02
 -2.3883266e+00 -2.6563327e+00 -1.3686526e+00 -5.5580378e+00
  1.8747671e+00 -3.0812449e+00 -8.3129746e-01 -3.0080304e+00
 -1.2424557e+00 -2.4511242e-02 -2.6216123e+00 -8.8082135e-01
 -1.6525534e+00 -1.2403662e+00 -2.1159630e+00 -6.7098272e-01]",WeightedbladesNoise
1,"[-131.54875     141.76346     -46.163578     86.30664     -34.29394
   50.752316     -7.2111382    20.179947      1.1191738     8.642964
   17.42167     -12.24751      10.948056    -13.48773       7.5337577
   -7.391709      6.8106127    -0.4241073    -1.0360614     4.842137
   -4.562444      4.895905     -7.3668275     2.0256462    -6.826592
   -0.6375612    -3.4705048    -3.9134986    -0.3384776    -5.664391
   -2.230023     -4.99689      -1.4489555    -5.4416337    -0.65408295
   -2.4042778    -0.5313508    -1.0464935    -1.3300027    -1.5998715 ]",WeightedbladesNoise
2,"[-154.2827      141.59094     -45.067036     66.9208      -30.89585
   37.734337      3.2712145    18.457457      6.6482778     5.1264586
   15.122168     -4.7910056    17.537306     -1.6144001    12.392656
   -0.80943936    5.219519      4.2196155     1.1548659     7.685351
   -1.7952675     5.920038     -5.163165      2.1798735    -2.6310174
   -0.3434528     0.96219486   -3.0077739     0.26115438   -4.9871726
   -1.1258162    -4.1441536    -0.68811435   -2.4126985    -1.9847032
   -1.4948825    -1.5567073    -0.74611634   -2.4269407    -1.3824316 ]",WeightedbladesNoise
3,"[-1.23773880e+02  1.41927719e+02 -5.11788025e+01  6.62954102e+01
 -3.57944679e+01  3.66481895e+01  1.51133621e+00  1.76309166e+01
  4.17046261e+00  5.80159235e+00  1.32525196e+01 -8.15284824e+00
  1.59396181e+01 -3.91130495e+00  1.18199835e+01 -1.11284792e+00
  5.79718304e+00  3.93078589e+00  3.29614997e+00  9.03569126e+00
 -8.44714284e-01  7.69701576e+00 -4.31705523e+00  3.64449930e+00
  3.17468286e-01  2.27614975e+00  1.31436408e+00 -8.05929005e-01
  2.21677423e+00 -3.59131575e+00 -1.25075531e+00 -4.04109955e+00
  1.35229379e-01 -1.26168942e+00  9.51949000e-01 -5.24446309e-01
 -1.93936288e+00 -2.40772867e+00 -3.67920041e+00 -2.52771568e+00]",WeightedbladesNoise
4,"[-74.84768    150.31708    -69.574745    72.87649    -49.341694
  39.449924    -6.3038597   15.416624    -1.7419591    5.4637175
  15.758609    -7.3466096   16.990568    -9.317856    12.205316
  -4.0465446    4.0664563    0.4745387    2.297975     7.693681
  -1.2485014    7.311321    -4.8913436    4.8603363   -3.2001796
   1.598346    -0.9976816   -2.9643123   -1.0042229   -3.7242732
  -0.52329075  -4.3395996    1.6575174   -2.7776475    0.29764873
  -1.5580709   -1.9627223   -3.7287068   -3.9519415   -3.1800022 ]",WeightedbladesNoise
5,"[-1.15415924e+02  1.47394623e+02 -5.40548019e+01  6.42806778e+01
 -3.80211372e+01  3.75193825e+01  2.86854482e+00  1.69128990e+01
  3.29370499e+00  5.59728765e+00  1.50453901e+01 -6.53257179e+00
  1.59448414e+01 -3.73675156e+00  1.32788839e+01 -1.08184052e+00
  4.39149714e+00  3.13016105e+00  1.55936348e+00  8.62209129e+00
 -8.14844012e-01  6.06456804e+00 -3.80229259e+00  3.78112102e+00
 -2.67074347e+00  8.08868825e-01  1.15813053e+00 -2.77022815e+00
 -2.41338909e-01 -4.20105410e+00 -6.63455844e-01 -4.33159924e+00
 -2.41276026e-02 -1.98039579e+00 -6.92684650e-01 -1.48093379e+00
 -2.57786775e+00 -2.65589285e+00 -3.52523303e+00 -2.77782059e+00]",WeightedbladesNoise
6,"[-1.2372406e+02  1.3930104e+02 -3.8635918e+01  5.7399269e+01
 -3.1302885e+01  2.9005535e+01  9.4508915e+00  1.4314590e+01
  7.4359589e+00  6.4484520e+00  1.4513780e+01 -4.5294895e+00
  1.4924513e+01 -6.4238518e-01  1.0722245e+01 -1.3786209e-01
  1.0332812e+00  4.7519455e+00  2.0564501e+00  9.5364141e+00
  3.0208331e-01  4.3120780e+00 -4.0703502e+00  2.0006318e+00
 -7.2621888e-01 -4.1065645e-01  1.9792775e+00 -3.0039773e+00
 -1.3126288e-01 -4.7134552e+00 -1.3013172e+00 -3.8185084e+00
 -1.1106538e+00 -7.1508163e-01 -1.2304648e+00 -8.5624105e-01
 -3.9681115e+00 -2.4000590e+00 -2.9598315e+00 -2.9699898e+00]",WeightedbladesNoise
7,"[-1.4657397e+02  1.4178734e+02 -3.2979881e+01  5.9888142e+01
 -2.3171083e+01  3.1051779e+01  1.1162287e+01  1.6138971e+01
  1.2199239e+01  9.6499681e+00  1.4409569e+01 -5.7579665e+00
  1.4777052e+01  7.2279507e-01  9.5794678e+00 -6.7486650e-01
  7.5867867e-01  5.0640492e+00  1.1394210e-01  5.8718109e+00
 -1.0317773e+00  4.8768835e+00 -5.6778283e+00 -4.5211756e-01
 -1.1382865e+00 -9.1400087e-01  1.9279807e+00 -4.9096084e+00
 -1.4888864e+00 -5.2257609e+00 -9.0421689e-01 -3.8923147e+00
 -2.6260226e+00  7.1641221e-03 -1.4883628e+00 -8.0716455e-01
 -3.8743653e+00 -2.7641447e+00 -3.0610099e+00 -2.8626473e+00]",WeightedbladesNoise
8,"[-1.3449983e+02  1.3579192e+02 -3.5496922e+01  5.6195351e+01
 -2.7343559e+01  2.8961081e+01  9.4577303e+00  1.5186498e+01
  1.0852945e+01  8.4778576e+00  1.5884707e+01 -5.7346950e+00
  1.2500001e+01 -5.2209413e-01  9.1610422e+00  3.8177854e-01
  1.6725229e+00  5.2705317e+00  2.1244009e+00  8.2397223e+00
 -5.8668458e-01  4.6491423e+00 -4.3919768e+00  6.8549699e-01
 -2.0502959e-01  1.5208709e-01  2.1160407e+00 -3.9293177e+00
 -1.1327586e-02 -5.0734358e+00 -1.9977362e+00 -3.4281445e+00
 -1.5921752e+00 -4.1127932e-01 -1.4094530e+00 -7.1381420e-01
 -3.7740390e+00 -2.4784975e+00 -3.3364086e+00 -2.4816692e+00]",WeightedbladesNoise
9,"[-88.94681    145.34932    -65.7074      61.57991    -37.265102
  39.385296    -3.175599    13.591645     2.6933143    8.457535
  15.65968     -9.105332    12.80635     -6.645376    12.10461
  -3.3915005    4.8930287    2.013608     1.2842166    7.2174754
  -3.2677941    7.920541    -2.6431468    2.0993824   -5.268235
   1.303939     1.3903574   -2.7854936    0.5887005   -3.564082
   0.37374413  -3.590198     1.2585337   -0.91900635  -0.21121885
  -1.26728     -2.2090743   -3.2430036   -3.7875855   -1.5372473 ]",WeightedbladesNoise
